이름,업종,지도,주소,컨택,리뷰수,팔로워수,R/F 지수,비고1,플랜,지역
바이엠네일,네일샵,https://naver.me/GDaGQXsX,서울 마포구 방울내로 91 1층 바이엠네일,by_m.nail,579,2140,0.271,,,망원동
예뻐지는날,네일샵,https://naver.me/FK5QomYS,서울 마포구 월드컵로25길 26 101동 120호 예뻐지는날,lovelyday_beauty,380,1511,0.251,속눈썹,,망원동
네일루화,네일샵,https://naver.me/GoDswaxg,서울 마포구 월드컵로19길 31-1 2층,nail_luhwa,356,17000,0.021,,,망원동
어바웃네일,네일샵,https://naver.me/F42TauKF,서울 마포구 망원로 50 1층,about_nail_ksj,271,272,0.996,,,망원동
다원네일,네일샵,https://naver.me/xyd1yoXz,서울 마포구 월드컵로13길 19-7 1층 다원네일,dawonnail,252,3312,0.076,,,망원동
네일509,네일샵,https://naver.me/5l7WXcD9,서울 마포구 포은로 125 2층 네일509,__nail509,251,8453,0.030,속눈썹,,망원동
미도우뷰티,네일샵,https://naver.me/ID3un3cE,서울 마포구 월드컵로13길 70 402호,meadow.brow,228,1489,0.153,속눈썹,,망원동
디디유네일,네일샵,https://naver.me/59v3lb82,서울 마포구 월드컵로19길 95 2층,ddunail_,225,6174,0.036,,,망원동
포리네일,네일샵,https://naver.me/G28hnMDh,서울 마포구 월드컵로19길 70 101호,fori_nail,196,457,0.429,,,망원동
네일끌리문,네일샵,https://naver.me/GTnB4MfH,서울 마포구 포은로 95 1층,nail_kklimoon,184,1478,0.124,,,망원동
네온네일,네일샵,https://naver.me/GyYB3mXF,서울 마포구 포은로 119 1층,neonnail_,180,8583,0.021,,,망원동
네일플로랄,네일샵,https://naver.me/5u99L98W,서울 마포구 동교로 79 1층 네일플로랄,nailfloral__,142,6592,0.022,,,망원동
햇살눈부신네일,네일샵,https://naver.me/FqWQxmxj,서울 마포구 망원로2길 106 1층 가운데,sunnail_mj,122,191,0.639,속눈썹,,망원동
네일노벰버27,네일샵,https://naver.me/xI1yynRD,서울 마포구 망원로3길 13 1층,nail_november27,105,1922,0.055,,,망원동
"네일,연오",네일샵,https://naver.me/xxFUWrLt,"서울 마포구 포은로6길 11-3 1층 네일,연오",nail_yeon_5,84,2225,0.038,,,망원동
해찌네일,네일샵,https://naver.me/GBFUBTsj,서울 마포구 동교로 75 1층 102호,hezzi_nail,76,1943,0.039,,,망원동
앵두네일,네일샵,https://naver.me/5h1pGW6W,서울 마포구 망원로7길 31-10 1층 앵두네일,aengdoo._.nail,73,544,0.134,,,망원동
이쁨더하기,네일샵,https://naver.me/GoDMjzg6,서울 마포구 포은로 143-1 1층,beauty_plus.23,61,113,0.540,속눈썹,,망원동
"23, NAIL",네일샵,https://naver.me/IxKL0upJ,서울 마포구 월드컵로19길 42 1층(오른쪽),_23_nail,58,1823,0.032,,,망원동
도로시네일,네일샵,https://naver.me/FK0sSwqx,서울 마포구 포은로 106 1층 도로시네일,dorothy.mapo,53,1133,0.047,,,망원동
네일라일라,네일샵,https://naver.me/xs3enCEp,서울 마포구 망원로 45-4 수인하우스 1층 101호,naillilla__,53,397,0.134,,,망원동
네일바이숨,네일샵,https://naver.me/x0Uj2iDW,서울 마포구 희우정로20길 70,nailby.soom,48,2298,0.021,,,망원동
히어리네일,네일샵,https://naver.me/xtgeNFVu,서울 마포구 월드컵로17길 47 3층(지상2층)히어리네일(망원동),here.re_nail,47,47000,0.001,,,망원동
디니크네일,네일샵,https://naver.me/xlboyFZu,서울 마포구 월드컵로15길 37 3층,dnique.nail,47,208,0.226,,,망원동
쟈스민네일,네일샵,https://naver.me/F5DduRfB,서울 마포구 월드컵로 147 1층,jasmine_nailll,31,12,2.583,,,망원동
프루타네일,네일샵,https://naver.me/FjCU7bBw,서울 마포구 월드컵로29길 60 1층,fruta_nail,30,2154,0.014,,,망원동
